fare_amount_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
68799,4.5,0.0,0.5,1.06,0.0,0.3,6.36
68800,9.5,0.0,0.5,2.06,0.0,0.3,12.36
68801,8.5,0.0,0.5,0.0,0.0,0.3,9.3
68802,7.5,0.0,0.5,1.66,0.0,0.3,9.96
68803,6.0,0.0,0.5,0.0,0.0,0.3,6.8
68804,30.5,0.0,0.5,6.26,0.0,0.3,37.56
68805,5.5,0.0,0.5,6.0,0.0,0.3,12.3
68806,21.0,0.0,0.5,0.0,0.0,0.3,21.8
68807,5.5,0.0,0.5,0.0,0.0,0.3,6.3
68808,19.0,0.0,0.5,3.96,0.0,0.3,23.76
68809,52.0,0.0,0.5,10.0,5.54,0.3,68.34
68810,5.0,0.0,0.5,0.0,0.0,0.3,5.8
68811,19.5,0.0,0.5,4.5,0.0,0.3,24.8
68812,27.0,0.0,0.5,0.0,5.54,0.3,33.34
68813,14.0,0.0,0.5,3.7,0.0,0.3,18.5
68814,10.5,0.0,0.5,0.0,0.0,0.3,11.3
68815,20.0,0.0,0.5,0.0,0.0,0.3,20.8
68816,12.0,0.0,0.5,3.84,0.0,0.3,16.64
68817,13.0,0.0,0.5,0.0,0.0,0.3,13.8
68818,4.0,0.0,0.5,0.0,0.0,0.3,4.8
68819,9.0,0.0,0.5,1.96,0.0,0.3,11.76
68820,6.5,0.0,0.5,0.0,0.0,0.3,7.3
68821,20.0,0.0,0.5,4.16,0.0,0.3,24.96
68822,9.0,0.0,0.5,0.0,0.0,0.3,9.8
68823,12.5,0.0,0.5,1.0,0.0,0.3,14.3
68824,6.5,0.0,0.5,0.0,0.0,0.3,7.3
68825,11.0,0.0,0.5,2.36,0.0,0.3,14.16
68826,7.0,0.0,0.5,1.56,0.0,0.3,9.36
68827,14.5,0.0,0.5,0.0,0.0,0.3,15.3
68828,9.5,0.0,0.5,2.06,0.0,0.3,12.36
68829,7.5,0.0,0.5,2.08,0.0,0.3,10.38
68830,11.0,0.0,0.5,0.0,0.0,0.3,11.8
68831,6.0,0.0,0.5,0.0,0.0,0.3,6.8
68832,18.0,0.0,0.5,4.7,0.0,0.3,23.5
68833,41.5,0.0,0.5,14.35,5.54,0.3,62.19
68834,6.0,0.0,0.5,2.0,0.0,0.3,8.8
68835,8.5,0.0,0.5,2.32,0.0,0.3,11.62
68836,4.5,0.0,0.5,1.59,0.0,0.3,6.89
68837,5.5,0.0,0.5,0.82,0.0,0.3,7.12
68838,32.5,0.0,0.5,0.0,0.0,0.3,33.3
68839,4.0,0.0,0.5,0.96,0.0,0.3,5.76
68840,14.0,0.0,0.5,3.7,0.0,0.3,18.5
68841,5.0,0.0,0.5,0.0,0.0,0.3,5.8
68842,8.0,0.0,0.5,0.0,0.0,0.3,8.8
68843,13.5,0.0,0.5,0.0,0.0,0.3,14.3
68844,7.0,0.0,0.5,1.0,0.0,0.3,8.8
68845,15.0,0.0,0.5,0.0,0.0,0.3,15.8
68846,45.0,0.0,0.5,0.0,5.54,0.3,51.34
68847,6.0,0.0,0.5,0.0,0.0,0.3,6.8
68848,7.0,0.0,0.5,0.0,0.0,0.3,7.8
